layer,label,index,theta,radius,x,y
φ₀,Hush / Cradle,126,302.3953669458103,11.224972160321824,7.800582627040548,8.071611405333707
φ₀,Hush / Cradle,127,304.79533017553894,11.269427669584644,-11.248575274384603,-0.685240320255129
φ₀,Hush / Cradle,128,307.1952934052676,11.313708498984761,8.791632166901294,-7.1208990894343165
φ₀,Hush / Cradle,129,309.59525663499625,11.357816691600547,-1.6790985216483802,11.233015096339818
φ₀,Hush / Cradle,130,311.9952198647249,11.40175425099138,-6.3742413215204765,-9.453520379997117
φ₀,Hush / Cradle,131,314.39518309445356,11.445523142259598,11.128484938781604,2.675223909752418
φ₀,Hush / Cradle,132,316.7951463241822,11.489125293076057,-10.05103070669849,5.565678910340051
φ₀,Hush / Cradle,133,319.19510955391087,11.532562594670797,3.6655614577206657,-10.934516870885187
φ₀,Hush / Cradle,134,321.5950727836395,11.575836902790225,4.700862458228315,10.578369068472684
φ₀,Hush / Cradle,135,323.9950360133682,11.61895003862225,-10.65137818708727,-4.641997707414499
φ₀,Hush / Cradle,136,326.39499924309683,11.661903789690601,11.030246377668997,-3.785982679294768
φ₀,Hush / Cradle,137,328.7949624728255,11.704699910719626,-5.5964281710602215,10.280077418296203
φ₀,Hush / Cradle,138,331.19492570255414,11.74734012447073,-2.8277245654590484,-11.401928511523804
φ₀,Hush / Cradle,139,333.5948889322828,11.789826122551595,9.822364157740463,6.52082528156793
φ₀,Hush / Cradle,140,335.99485216201145,11.832159566199232,-11.689282079777133,1.8332169700832444
φ₀,Hush / Cradle,141,338.39481539174005,11.874342087037917,7.407306324502836,-9.280722655859309
φ₀,Hush / Cradle,142,340.7947786214687,11.916375287812984,0.8099779978357013,11.888815569392186
φ₀,Hush / Cradle,143,343.19474185119736,11.958260743101398,-8.658359190520244,-8.248200781257308
φ₀,Hush / Cradle,144,345.594705080926,12.0,11.997715485911217,0.23414337301373844
φ₀,Hush / Cradle,145,347.9946683106547,12.041594578792296,-9.036116514253356,7.959183270966802
φ₀,Hush / Cradle,146,350.39463154038333,12.083045973594572,1.2910289754338775,-12.01387715038697
φ₀,Hush / Cradle,147,352.794594770112,12.12435565298214,7.187782785791266,9.764004231066409
φ₀,Hush / Cradle,148,355.19455799984064,12.165525060596439,-11.935929853292668,-2.3523559546286466
φ₀,Hush / Cradle,149,357.5945212295693,12.206555615733702,10.425219675105387,-6.349393256508491
φ₀,Hush / Cradle,150,359.99448445929795,12.24744871391589,-3.4096635675382005,11.763256111987134
φ₀,Hush / Cradle,151,362.3944476890266,12.288205727444508,-5.449861408501955,-11.01358300591234
φ₀,Hush / Cradle,152,364.79441091875526,12.328828005937952,11.496004825844004,4.454421740716896
φ₀,Hush / Cradle,153,367.1943741484839,12.36931687685298,-11.523434852105183,4.495603319832344
φ₀,Hush / Cradle,154,369.5943373782126,12.409673645990857,5.478100828330606,-11.13509817265405
φ₀,Hush / Cradle,155,371.9943006079412,12.449899597988733,3.4935574552187387,11.949688544354851
φ₀,Hush / Cradle,156,374.3942638376699,12.489995996796797,-10.68223214098079,-6.472241998426583
φ₀,Hush / Cradle,157,376.79422706739854,12.529964086141668,12.287878064377463,-2.4511329370295623
φ₀,Hush / Cradle,158,379.1941902971272,12.569805089976535,-7.428527666708349,10.139870645375542
φ₀,Hush / Cradle,159,381.59415352685585,12.609520212918492,-1.3761534469754644,-12.534201278517013
φ₀,Hush / Cradle,160,383.9941167565845,12.649110640673518,9.511233224312281,8.338851392892083
φ₀,Hush / Cradle,161,386.39407998631316,12.68857754044952,-12.685558060843958,0.2767971910206798
φ₀,Hush / Cradle,162,388.7940432160418,12.727922061357855,9.195386655386875,-8.80027637395173
φ₀,Hush / Cradle,163,391.19400644577047,12.767145334803704,-0.8384666045120142,12.739582950517574
φ₀,Hush / Cradle,164,393.5939696754991,12.806248474865697,-8.011668623948855,-9.990653925546287
φ₀,Hush / Cradle,165,395.9939329052278,12.84523257866513,12.694672031143114,1.9609441658835616
φ₀,Hush / Cradle,166,398.39389613495644,12.884098726725126,-10.717585473060778,7.150759514040213
φ₀,Hush / Cradle,167,400.79385936468503,12.922847983320086,3.0817860863384605,-12.550003765658825
φ₀,Hush / Cradle,168,403.1938225944137,12.96148139681572,6.223542681651661,11.369587349137174
φ₀,Hush / Cradle,169,405.59378582414234,13.0,-12.30555356854815,-4.19205813075056
φ₀,Hush / Cradle,170,407.993749053871,13.038404810405298,11.9405980138447,-5.236613320817951
φ₀,Hush / Cradle,171,410.39371228359965,13.076696830622021,-5.28281336007889,11.962101947507888
φ₀,Hush / Cradle,172,412.7936755133283,13.114877048604,-4.197120320907058,-12.425143098243538
φ₀,Hush / Cradle,173,415.19363874305697,13.152946437965905,11.521236098697395,6.345164990610722
φ₀,Hush / Cradle,174,417.5936019727856,13.19090595827292,-12.818385820505508,3.1127134395352525
φ₀,Hush / Cradle,175,419.9935652025143,13.228756555322953,7.370359393071713,-10.985344892945307
φ₀,Hush / Cradle,176,422.39352843224293,13.2664991614216,1.991485907334137,13.116172607925284
φ₀,Hush / Cradle,177,424.7934916619716,13.30413469565007,-10.357607244349342,-8.349848631670039
φ₀,Hush / Cradle,178,427.19345489170024,13.341664064126334,13.31507351330451,-0.8419129024410461
φ₀,Hush / Cradle,179,429.5934181214289,13.379088160259652,-9.27536194301738,9.641973907142917
φ₀,Hush / Cradle,180,431.99338135115755,13.416407864998739,0.32721363056391245,-13.412417054355759
φ₀,Hush / Cradle,181,434.3933445808862,13.45362404707371,8.843142801069012,10.13897555968557
φ₀,Hush / Cradle,182,436.79330781061486,13.490737563232042,-13.406319148220916,-1.5068533093984797
φ₀,Hush / Cradle,183,439.1932710403435,13.527749258468683,10.933180292891715,-7.966528019352237
